team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
K27,Nuke,64.51,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Overpass,36.93,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Dust2,38.52,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Mirage,37.64,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Nuke,38.81,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Overpass,39.48,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Ancient,44.46,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Dust2,57.00,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Inferno,51.25,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Mirage,71.97,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Nuke,57.04,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Ancient,34.91,14,20.00,6.15,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Anubis,48.17,3,4.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Dust2,36.42,10,20.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Inferno,59.74,9,4.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Mirage,56.74,9,36.00,3.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Nuke,38.98,10,16.00,4.62,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Ancient,36.16,1,4.76,2.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Anubis,41.58,1,0.00,20.93,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Dust2,64.21,4,71.43,4.65,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Inferno,44.79,3,9.52,6.98,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Nuke,50.38,2,9.52,9.30,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Overpass,39.62,1,4.76,9.30,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Ancient,34.97,6,12.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Anubis,51.23,6,12.00,7.69,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Dust2,59.81,9,0.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Inferno,58.34,12,40.00,3.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Mirage,54.34,11,28.00,4.62,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Overpass,53.50,7,8.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Ancient,79.02,15,23.08,5.77,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Anubis,77.89,7,11.54,3.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Inferno,78.47,12,42.31,5.77,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Mirage,63.65,11,19.23,5.77,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Nuke,49.95,8,3.85,9.62,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
