team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
Lynn Vision,Dust2,75.49,4,71.43,4.65,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Inferno,36.93,3,9.52,6.98,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Nuke,51.40,2,9.52,9.30,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Overpass,10.46,1,4.76,9.30,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Ancient,18.33,6,12.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Anubis,49.87,6,12.00,7.69,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Dust2,66.82,9,0.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Inferno,57.37,12,40.00,3.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Mirage,54.00,11,28.00,4.62,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Overpass,56.15,7,8.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Ancient,79.52,15,23.08,5.77,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Anubis,95.00,7,11.54,3.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Inferno,74.49,12,42.31,5.77,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Mirage,64.45,11,19.23,5.77,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
MIBR,Nuke,50.49,8,3.85,9.62,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
